FID,district,community,facility,fac_name,type,ownership,functional,lat,long,source,source_geo,dhis2_id,geo_date,comments,x,y
890,Kono,Tongorma,Tongorma MCHP,Tongorma,MCHP,Government,Functional,8.659053,-11.059771,NEMS,GPS,Hvc39OjjNNi,2015, ,-11.0597710003314,8.65905300009592
891,Kono,Baiama,Baiama CHC,Baiama,CHC,Government,Functional,8.51667,-10.96772,DPPI,GPS,F7rKI2wvyCE,2016, ,-10.9677200001778,8.51667000002055
892,Kono,Yardu,Yardu MCHP,Yardu,MCHP,Government,Functional,8.789837,-10.98373,DPPI,GPS,Bi4MDLYeERL,2016, ,-10.9837300001394,8.7898370003773
893,Kono,Peya,Peya MCHP,Peya,MCHP,Government,Functional,8.496581,-11.21443,DPPI,GPS,gjt515PtAtB,2016, ,-11.2144299999445,8.49658099991325
894,Kono,Kochero,Kochero MCHP,Kochero,MCHP,Government,Functional,8.9077,-10.9094,WHO,GPS,V23T2NfcSrD,2019, ,-10.9093999997102,8.90770000015493
895,Kono,Samandu,Samandu MCHP,Samandu,MCHP,Government,Functional,8.9548,-11.0402,WHO,GPS,ex50As3HUKI,2019, ,-11.0401999998301,8.95480000031984
896,Kono,Wordu,Wordu CHP,Wordu,CHP,Government,Functional,8.9375,-11.0992,WHO,GPS,QjwkBbZd2qm,2019, ,-11.0992000001798,8.93750000022487
897,Kono,Kimbadu,Kimbadu CHC,Kimbadu,CHC,Government,Functional,8.62502,-10.95334,DPPI,GPS,bCjS2z9xOHH,2016, ,-10.9533399998411,8.62501999997306
898,Kono,Kayima,Kayima CHC,Kayima,CHC,Government,Functional,8.89071,-11.15983,DPPI,GPS,SIhQTxFeFzf,2016, ,-11.1598300001543,8.89070999996659
899,Kono,Bumpeh,Bumpeh CHC,Bumpeh,CHC,Faith Based,Functional,8.615738,-11.073995,FMFL,GPS,kQSYot2BfXR,2015, ,-11.0739949997694,8.61573800000872
900,Kono,Foindu Mongor,Foindu Mongor CHP,Foindu Mongor,CHP,Government,Functional,8.5615,-10.6522,NEMS,GPS,HpBQcPODdoU,2015, ,-10.6522000000299,8.56149999982517
901,Kono,Koema,Koema MCHP,Koema,MCHP,Government,Functional,8.81724,-11.24242,NEMS,GPS,QhVaW67GHDy,2015, ,-11.2424200001828,8.81723999962634
902,Kono,Massabendu,Massabendu MCHP,Massabendu,MCHP,Government,Functional,8.6949,-11.250752,FMFL,GPS,rvV3Y73WYuW,2015, ,-11.2507520004045,8.6949000002349
903,Kono,Foindu,Foindu CHP,Foindu,CHP,Government,Functional,8.456564,-10.748468,DPPI,GPS,vzdZLAuKkFz,2021, ,-10.7484680003978,8.45656399992868
904,Kono,Kondeya,Kondeya MCHP,Kondeya,MCHP,Government,Functional,8.922412,-10.99712,SARA,GPS,JILhQjEC435,2017, ,-10.9971199997881,8.92241199961416
905,Kono,Kuangor,Kwangor MCHP,Kwangor,MCHP,Government,Functional,8.551845,-10.830076,FMFL,Village Center,jEHFU46qN6A,2015, ,-10.8300760001073,8.551844999747
906,Kono,Dunamor,Dunamor CHP,Dunamor,CHP,Government,Functional,9.0434,-11.068,NEMS,GPS,lZPJvbJCWQ6,2015, ,-11.0680000002997,9.04339999961036
907,Kono,Sukudu Kamara,Sukudu CHP,Sukudu,CHP,Government,Functional,8.7599,-11.0306,WHO,GPS,sBLP7T6E0AV,2019, ,-11.0305999995903,8.75990000028486
908,Kono,Bandama,Bandama MCHP,Bandama,MCHP,Government,Functional,8.393265,-10.875925,DPPI,GPS,No Data,2021, ,-10.8759250001386,8.39326500007974
909,Kono,Bona street,Koidu Government Hospital,Koidu Government,HOSPITAL,Government,Functional,8.64826,-10.96617,DPPI,GPS,WhMSI9Sc40i,2016, ,-10.9661699997457,8.64825999969929
910,Kono,Bona street,Koidu Static CHC,Koidu Static,CHC,Government,Functional,8.648708,-10.965871,NEMS,GPS,Wdm19L00J4H,2015, ,-10.9658710003463,8.64870799967451
911,Kono,"Mission Rd , Koidu city",Egyptian Clinic,Egyptian,CLINIC,Private,Functional,8.736945,-10.916573,DPPI,GPS,pg3axCSRe2G,2021, ,-10.9165730004436,8.73694500021162
912,Kono,Koryadu,Koryadu CHP,Koryadu,CHP,Private,Functional,8.557069,-10.984909,DPPI,GPS,No Data,2021, ,-10.9849089996505,8.55706899963468
913,Kono,"Barracks Rd, Koidu",Adama Martha Memorial CLINIC,Adama Marth Memorial,CHC,Faith Based,Functional,8.64858,-10.98625,NEMS,GPS,waE3sdkY7ha,2015, ,-10.9862500003372,8.648580000067
914,Kono,Simbakoro MCHP,Simbakoro MCHP,Simbakoro,MCHP,Government,Functional,8.63883,-10.92275,DPPI,GPS,feiKlCaBhCd,2016, ,-10.9227500002123,8.63883000010446
915,Kono,Gbeya,Gbeya MCHP,Gbeya,MCHP,Government,Functional,8.886602,-10.856634,FMFL,GPS,M9jAoxUtRK9,2015, ,-10.8566339999591,8.88660200028215
916,Kono,Walihun MCHP,Walihun CHP,Walihun,CHP,Government,Functional,8.57517,-11.33531,NEMS,GPS,CRrvtqHj2LF,2015, ,-11.3353100003562,8.57516999979572
917,Kono,Koakoyima,Koakoyima CHC,Koakoyima,CHC,Government,Functional,8.622484,-10.99471,DPPI,GPS,ZQbMKHBTHer,2016, ,-10.9947100001663,8.62248399993672
918,Kono,Bumpeh,Bumpeh CHP,Bumpeh,CHP,Government,Functional,8.546405,-10.944699,DPPI,GPS,VoNVVhuTb2l,2021, ,-10.944698999759,8.54640499979098
919,Kono,Sukudu NewSite,Sukudu Newsite (Paul Sorie Farma Clinic) CLINIC,Sukudu Newsite (Paul Sorie Farma Clinic),CLINIC,Private,Functional,8.641909,-10.94709,DPPI,GPS,HjHiWN154ja,2021,Requires Validation/Ground truthing,-10.9470900003032,8.6419090000004
920,Kono,"main kainkordu road, koidu city",Gbonkolenken Clinic,Gbonkolenken,CLINIC,Private,Functional,8.644944096,-10.974020036,DPPI,Digitized,XTqHhwZXlzX,2021,Requires Validation/Ground truthing,-10.9740200361957,8.64494409589338
